name,target,max,min,buy,hold,sell
ACE,1.50,1.50,1.50,0,0,0
ADVANC,335.72,365.00,319.00,15,0,0
AEONTS,128.00,140.00,110.00,8,2,0
AH,15.64,17.40,13.60,3,4,1
AIMIRT,11.40,11.80,11.00,2,0,0
AMATA,23.32,35.00,14.90,13,1,2
ANAN,0.40,0.40,0.40,0,0,0
AOT,34.92,48.00,24.00,2,9,7
AP,9.79,12.50,7.80,13,1,0
ASIAN,6.60,6.60,6.60,0,0,0
ASK,6.43,7.38,5.90,1,0,0
ASW,7.62,8.95,6.60,2,1,0
AWC,3.16,5.00,2.33,6,2,0
BA,18.64,23.50,14.10,8,1,0
BAM,8.25,10.00,6.40,3,3,2
BANPU,5.09,5.50,4.90,1,5,1
BAY,24.18,26.00,22.00,1,3,0
BBL,162.33,196.00,119.00,11,4,3
BCH,17.49,21.70,13.80,18,2,0
BCP,38.88,47.00,32.00,15,3,1
BCPG,9.49,12.00,7.80,12,0,0
BDMS,28.55,34.20,20.00,15,5,0
BE8,6.17,7.00,5.50,0,2,0
BEC,2.96,3.20,2.72,1,1,0
BEM,8.68,12.09,7.30,15,0,0
BGRIM,15.61,22.00,11.00,13,4,1
BH,202.45,240.00,150.00,12,6,2
BJC,23.13,32.00,18.00,10,5,1
BLA,19.70,22.00,17.40,1,1,0
BPP,9.75,10.00,9.00,3,1,0
BTS,4.70,6.00,3.50,0,0,0
BTSGIF,2.92,3.40,2.45,1,2,0
CBG,67.40,79.00,58.00,12,1,0
CENTEL,36.21,42.09,31.00,13,2,0
CHG,2.13,2.94,1.70,11,3,0
CK,20.16,23.50,17.20,14,0,0
CKP,3.88,4.40,3.40,11,0,0
COM7,29.41,34.00,23.50,8,3,0
CPALL,67.35,80.00,57.25,18,0,0
CPF,28.22,38.00,21.30,10,6,1
CPN,69.48,83.00,55.00,14,0,0
CPNREIT,12.40,12.50,12.20,2,1,0
CRC,23.21,40.00,16.50,6,8,4
DCC,1.52,1.64,1.43,0,0,0
DELTA,130.18,196.00,65.00,4,4,9
DIF,9.83,11.40,8.60,4,0,0
DOHOME,4.17,10.00,2.60,2,4,7
EGATIF,5.75,5.75,5.75,0,0,0
EGCO,131.18,155.00,116.00,10,0,0
EPG,3.86,4.30,3.30,4,1,0
FPT,9.80,9.80,9.80,1,0,0
FSMART,13.00,13.00,13.00,1,0,0
FTREIT,11.58,12.60,10.60,4,0,0
GFPT,12.44,15.50,9.95,9,5,0
GGC,4.20,4.20,4.20,0,0,0
GLOBAL,6.70,10.00,4.00,3,6,3
GPSC,44.99,56.00,33.25,13,5,0
GUNKUL,2.97,5.00,2.00,7,0,0
GVREIT,6.80,6.80,6.80,0,0,0
HANA,23.73,31.00,17.00,5,8,1
HMPRO,8.43,13.10,5.35,9,6,3
HTC,19.05,19.60,18.50,2,0,0
ICHI,13.79,15.50,12.00,7,0,0
III,6.27,7.00,5.80,3,0,0
ILM,15.76,18.10,11.50,2,0,0
IMPACT,11.73,12.30,11.20,1,2,0
IRPC,0.98,1.50,0.67,2,8,5
IVL,23.20,28.00,18.00,7,8,2
3BBIF,6.60,7.80,5.80,1,3,0
JMART,10.90,10.90,10.90,0,0,0
JMT,11.22,15.30,7.50,1,3,1
KBANK,174.82,192.00,150.00,8,8,1
KCE,24.97,30.00,15.75,4,6,4
KKP,55.60,67.00,45.00,6,10,1
KTB,27.48,31.00,25.00,16,0,0
KTC,33.54,45.00,18.00,8,4,1
LH,4.42,5.80,3.50,3,7,1
LPN,1.72,2.30,1.16,1,1,4
M,26.08,31.00,20.00,4,2,0
MAJOR,12.74,14.80,9.00,4,3,0
MC,13.08,14.20,12.50,4,0,0
MEGA,32.07,36.00,26.00,3,3,1
MINT,33.44,38.60,26.50,15,2,0
MST,6.50,6.50,6.50,0,0,0
MTC,49.91,65.00,32.00,14,1,1
NER,5.66,6.40,4.50,6,3,0
ONEE,2.45,2.70,1.60,1,4,1
OR,15.28,20.00,12.00,9,5,3
ORI,2.44,3.30,1.85,2,4,2
OSP,20.25,24.00,13.70,11,6,1
PLANB,6.87,9.35,5.00,12,1,0
PRM,9.42,11.80,8.20,7,0,0
PSH,4.19,5.00,3.38,0,2,0
PSL,7.67,9.37,7.00,2,2,1
PTG,8.77,11.00,6.70,9,4,0
PTT,35.52,40.00,32.50,10,6,0
PTTEP,133.60,169.00,112.50,16,4,0
PTTGC,24.33,33.00,17.00,10,3,6
QH,1.48,2.00,1.30,1,9,0
RATCH,32.88,37.00,25.75,5,3,0
RBF,4.15,4.80,3.80,0,0,0
RCL,30.60,33.00,28.20,0,0,0
RJH,14.70,15.00,14.40,0,0,0
ROJNA,6.95,8.60,5.30,1,1,0
SAPPE,35.00,38.00,27.00,2,6,3
SAT,14.01,16.70,12.50,4,6,0
SAWAD,27.12,36.00,20.00,6,10,0
SC,2.31,2.75,1.96,5,3,0
SCB,132.81,148.00,116.00,9,7,0
SCC,214.29,290.00,130.00,5,5,4
SCCC,193.33,200.00,185.00,3,0,0
SCGP,20.80,26.00,16.00,9,7,1
SINGER,6.70,6.70,6.70,0,0,0
SIRI,1.74,2.20,1.37,8,4,0
SIS,23.00,23.00,23.00,0,0,0
SJWD,12.84,14.00,11.00,7,1,0
SKR,10.30,10.30,10.30,1,0,0
SPALI,16.89,21.80,14.00,8,7,2
SPRC,6.16,7.90,5.00,11,4,1
SSP,4.85,5.00,4.70,1,0,0
STA,14.53,17.70,12.40,3,4,0
STANLY,193.28,214.00,162.00,3,2,1
STGT,7.92,9.90,7.30,3,2,0
SUPEREIF,5.35,5.35,5.35,0,0,0
SVI,5.76,6.80,4.70,0,6,0
SYNEX,14.44,16.55,13.00,8,0,0
TASCO,16.94,18.00,16.00,6,1,0
TCAP,54.44,61.10,52.00,2,5,0
TFG,6.55,7.35,5.50,8,1,0
THANI,1.82,2.30,1.41,3,2,1
THG,7.70,7.70,7.70,0,0,0
TISCO,98.91,108.00,87.50,2,12,2
TKN,6.37,6.70,6.00,1,2,0
TMT,3.40,3.40,3.40,0,0,0
TOA,16.23,19.80,13.00,2,2,0
TOP,35.01,44.00,24.00,6,11,2
TPIPP,2.50,2.50,2.50,0,0,0
TQM,17.68,24.00,15.00,2,2,0
TRUE,14.77,18.00,11.40,9,2,0
TTA,5.30,5.30,5.30,1,1,0
TTB,2.01,2.22,1.70,5,8,2
TTW,9.90,10.60,8.70,3,3,0
TU,13.18,15.80,10.00,8,9,2
TVO,29.03,30.00,26.60,4,0,0
